policy,tau,K,M,lockout_hours,n_patients,n_sepsis,n_nonsepsis,sepsis_detected,sepsis_detection_rate,nonsepsis_alerted,nonsepsis_alert_rate,alerts_total,alerts_per_100_patient_hours,lead_time_median,lead_time_mean,lead_ge_1_rate,lead_ge_3_rate,lead_ge_6_rate,policy_name
B_persistence,0.005,2,4,6,493,39,454,37,0.9487179487179487,5,0.011013215859030838,415,2.167667798380778,64.0,68.51351351351352,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.006551724137931035,2,4,6,493,39,454,37,0.9487179487179487,5,0.011013215859030838,415,2.167667798380778,64.0,68.51351351351352,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.008103448275862069,2,4,6,493,39,454,37,0.9487179487179487,5,0.011013215859030838,415,2.167667798380778,64.0,68.51351351351352,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.009655172413793104,2,4,6,493,39,454,37,0.9487179487179487,5,0.011013215859030838,415,2.167667798380778,64.0,68.51351351351352,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.01120689655172414,2,4,6,493,39,454,37,0.9487179487179487,5,0.011013215859030838,415,2.167667798380778,64.0,68.51351351351352,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.012758620689655173,2,4,6,493,39,454,37,0.9487179487179487,5,0.011013215859030838,415,2.167667798380778,64.0,68.51351351351352,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.014310344827586207,2,4,6,493,39,454,37,0.9487179487179487,5,0.011013215859030838,415,2.167667798380778,64.0,68.51351351351352,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.015862068965517243,2,4,6,493,39,454,37,0.9487179487179487,5,0.011013215859030838,415,2.167667798380778,64.0,68.51351351351352,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.017413793103448278,2,4,6,493,39,454,37,0.9487179487179487,5,0.011013215859030838,415,2.167667798380778,64.0,68.51351351351352,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.018965517241379314,2,4,6,493,39,454,37,0.9487179487179487,5,0.011013215859030838,415,2.167667798380778,64.0,68.51351351351352,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.020517241379310346,2,4,6,493,39,454,37,0.9487179487179487,5,0.011013215859030838,415,2.167667798380778,64.0,68.51351351351352,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
